time, azimuth, pitch, roll, xforce, yforce, zforce
1385705883389000, -0.18109942972660065, -1.2363100051879883, -0.08658916503190994, 0.27437943, 9.128917, 3.160827
1385705883498000, 0.24478554725646973, -1.2605353593826294, 0.12446384131908417, -0.3600014, 9.044791, 2.8774662
1385705883605000, 0.15829777717590332, -1.2666782140731812, 0.08284813910722733, -0.23516098, 9.054222, 2.831961
1385705883707000, 0.04195554926991463, -1.2408215999603271, 0.009373372420668602, -0.0291893, 9.092392, 3.1139746
1385705883815000, -0.00662552285939455, -1.2385809421539307, 0.002832585945725441, -0.008981323, 9.190438, 3.1707065
1385705883917000, 0.02007748745381832, -1.2234063148498535, 0.005101305898278952, -0.016914826, 9.157806, 3.315755
1385705884027000, 0.034478556364774704, -1.2088106870651245, 0.0213428046554327, -0.07439529, 9.205856, 3.4852026
1385705884134000, -0.10435868054628372, -1.215647578239441, -0.05075790733098984, 0.17124389, 9.100625, 3.3708403
1385705884237000, 0.2009088397026062, -1.1831780672073364, 0.11129522323608398, -0.42302033, 9.3289, 3.7851787
1385705884344000, 0.1319923996925354, -1.1723190546035767, 0.06913982331752777, -0.22977218, 7.9001217, 3.318
1385705884446000, 0.1606559455394745, -0.8618167638778687, 0.03830116614699364, -0.26479936, 8.062085, 6.91023
1385705884556000, -0.1095336377620697, -0.8837703466415405, -0.042815353721380234, 0.2758763, 7.8568616, 6.439459
1385705884663000, 0.06064597889780998, -0.8529393076896667, 0.03603605926036835, -0.23022126, 7.3172336, 6.3858705
1385705884767000, -0.058449454605579376, -0.8518543243408203, 0.013768697157502174, -0.08637039, 7.1676946, 6.2725563
1385705884873000, -0.042912472039461136, -0.7488582134246826, 0.03773454576730728, -0.2758763, 6.7969155, 7.307504
1385705884976000, -0.21374471485614777, -0.6956621408462524, -0.008366560563445091, 0.065264285, 6.5128064, 7.800429
1385705885083000, -0.22659850120544434, -0.66185462474823, -0.009759997017681599, 0.07619156, 6.0820026, 7.806267
1385705885186000, -0.015075210481882095, -0.5717258453369141, 0.07214368134737015, -0.62420195, 5.5717134, 8.637189
1385705885293000, -0.03568699583411217, -0.5288891196250916, 0.07752388715744019, -0.66566575, 5.023254, 8.56938
